Cancer Site,Year,Sex,Age,Incidence and Survival Assumptions,Annual Cost Increase (applied to initial and last phases),Total Costs,Initial Year After Diagnosis Cost,Continuing Phase Cost,Last Year of Life Cost
Pancreas,2018,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,4236.3,2444.6,200.1,1591.5
Prostate,2018,Males,All ages,"Incidence, Survival at constant rate",0%,15299.2,5698.6,8190.8,1409.9
Prostate,2018,Males,All ages,"Incidence follows recent trend, Survival constant",0%,14503.9,5225.2,7910.3,1368.4
Prostate,2018,Males,All ages,"Survival follows recent trend, Incidence constant",0%,15364.2,5698.6,8246.3,1419.3
Prostate,2018,Males,All ages,"Incidence, Survival follow recent trends",0%,14565.9,5225.2,7963.3,1377.4
Prostate,2018,Males,All ages,"Incidence, Survival follow recent trends",2%,15512.5,6122.1,7963.3,1427
Prostate,2018,Males,All ages,"Incidence, Survival follow recent trends",5%,17198.7,7720,7963.3,1515.4
Stomach,2018,Both sexes,All ages,"Incidence, Survival at constant rate",0%,2159.3,979.9,276.7,902.7
Stomach,2018,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,1781.9,757.6,249.5,774.8
Stomach,2018,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,2263.5,979.9,302.1,981.4
Stomach,2018,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,1867.9,757.6,270.8,839.6
Stomach,2018,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,2125.2,887.6,270.8,966.8
Stomach,2018,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,2583.5,1119.3,270.8,1193.4
Uterus,2018,Both sexes,All ages,"Incidence, Survival at constant rate",0%,2945.7,1234.5,874.7,836.6
Uterus,2018,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,2763.8,1120,841.2,802.6
Uterus,2018,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,2940.1,1234.5,870,835.6
Uterus,2018,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,2758.5,1120,836.8,801.8
Uterus,2018,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,3068.4,1312.2,836.8,919.3
Uterus,2018,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,3620.3,1654.7,836.8,1128.8
Other,2018,Both sexes,All ages,"Incidence, Survival at constant rate",0%,24775.5,4372.7,13734.2,6668.6
Other,2018,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,25909.5,4462.2,13693.7,7753.5
Other,2018,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,27765.2,4372.7,16162.2,7230.4
Other,2018,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,28823.1,4462.2,16037.2,8323.6
Other,2018,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,30549.9,5228.2,16037.2,9284.5
Other,2018,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,33626.1,6592.7,16037.2,10996.1
AllSites,2019,Both sexes,All ages,"Incidence, Survival at constant rate",0%,154254.5,47469,59856.4,46929.2
AllSites,2019,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,145102,41887.3,57930,45284.7
AllSites,2019,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,160797.1,47469,63958.7,49369.4
AllSites,2019,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,151327.7,41887.3,61821,47619.5
AllSites,2019,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,167177.2,50059.2,61821,55297.1
AllSites,2019,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,196118.2,64980.9,61821,69316.3
Bladder,2019,Both sexes,All ages,"Incidence, Survival at constant rate",0%,4783,1200.5,2255.5,1326.9
Bladder,2019,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,4346,1005.1,2108,1233
Bladder,2019,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,4847,1200.5,2295.8,1350.8
Bladder,2019,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,4403.8,1005.1,2144.2,1254.5
Bladder,2019,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,4782.8,1201.2,2144.2,1437.4
Bladder,2019,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,5474.9,1559.2,2144.2,1771.5
Brain,2019,Both sexes,All ages,"Incidence, Survival at constant rate",0%,5429.6,1437.5,1327.5,2664.6
Brain,2019,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,5288.5,1360.3,1312.1,2616.1
Brain,2019,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,5650.1,1437.5,1391.2,2821.5
Brain,2019,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,5501,1360.3,1373.5,2767.2
Brain,2019,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,6279.1,1625.6,1373.5,3279.9
Brain,2019,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,7699.8,2110.2,1373.5,4216
Breast,2019,Females,All ages,"Incidence, Survival at constant rate",0%,20100.9,6773.7,8689.7,4637.5
Breast,2019,Females,All ages,"Incidence follows recent trend, Survival constant",0%,18633.5,5995.6,8253.4,4384.5
Breast,2019,Females,All ages,"Survival follows recent trend, Incidence constant",0%,20261.7,6773.7,8795.3,4692.7
Breast,2019,Females,All ages,"Incidence, Survival follow recent trends",0%,18781.5,5995.6,8350.7,4435.3
Breast,2019,Females,All ages,"Incidence, Survival follow recent trends",2%,20792.8,7165.3,8350.7,5276.8
Breast,2019,Females,All ages,"Incidence, Survival follow recent trends",5%,24465.3,9301.1,8350.7,6813.5
Cervix,2019,Females,All ages,"Incidence, Survival at constant rate",0%,1543,499,361.3,682.7
Cervix,2019,Females,All ages,"Incidence follows recent trend, Survival constant",0%,1225.1,301.2,326.7,597.2
Cervix,2019,Females,All ages,"Survival follows recent trend, Incidence constant",0%,1545.9,499,362.1,684.9
Cervix,2019,Females,All ages,"Incidence, Survival follow recent trends",0%,1227.2,301.2,327.2,598.8
Cervix,2019,Females,All ages,"Incidence, Survival follow recent trends",2%,1392.2,360,327.2,705
Cervix,2019,Females,All ages,"Incidence, Survival follow recent trends",5%,1693.5,467.3,327.2,899
Colorectal,2019,Both sexes,All ages,"Incidence, Survival at constant rate",0%,17015.5,7073.8,4786.3,5155.4
Colorectal,2019,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,14227,5441,4284.1,4501.9
Colorectal,2019,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,17385.8,7073.8,4968.4,5343.5
Colorectal,2019,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,14535,5441,4436.1,4657.9
Colorectal,2019,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,16287.5,6502.5,4436.1,5348.9
Colorectal,2019,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,19487.5,8440.8,4436.1,6610.6
Esophagus,2019,Both sexes,All ages,"Incidence, Survival at constant rate",0%,1720.5,696.1,210.6,813.8
Esophagus,2019,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,1666.9,669,206.1,791.8
Esophagus,2019,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,1964.2,696.1,268.6,999.6
Esophagus,2019,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,1904.4,669,262.7,972.7
Esophagus,2019,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,2203.3,799.6,262.7,1141.1
Esophagus,2019,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,2749.1,1037.9,262.7,1448.5
Head_Neck,2019,Both sexes,All ages,"Incidence, Survival at constant rate",0%,4264.5,1260.9,1188.2,1815.5
Head_Neck,2019,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,3763.4,1011.4,1100.5,1651.5
Head_Neck,2019,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,4313.3,1260.9,1208.2,1844.2
Head_Neck,2019,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,3806.1,1011.4,1118.1,1676.5
Head_Neck,2019,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,4306,1208.7,1118.1,1979.1
Head_Neck,2019,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,5218.7,1569.1,1118.1,2531.5
Kidney,2019,Both sexes,All ages,"Incidence, Survival at constant rate",0%,4977.9,1364.9,2147.5,1465.5
Kidney,2019,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,5827.5,1777.7,2391.9,1657.9
Kidney,2019,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,5132.7,1364.9,2240.1,1527.7
Kidney,2019,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,6013.3,1777.7,2503,1732.7
Kidney,2019,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,6611.9,2124.5,2503,1984.4
Kidney,2019,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,7704.9,2757.8,2503,2444.1
Leukemia,2019,Both sexes,All ages,"Incidence, Survival at constant rate",0%,6789.8,910.9,2670,3208.9
Leukemia,2019,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,6523.2,852.5,2581.7,3088.9
Leukemia,2019,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,7045.7,910.9,2787.3,3347.4
Leukemia,2019,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,6765.2,852.5,2692.7,3219.9
Leukemia,2019,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,7494.2,1018.8,2692.7,3782.6
Leukemia,2019,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,8825.5,1322.5,2692.7,4810.2
Lung,2019,Both sexes,All ages,"Incidence, Survival at constant rate",0%,14459.8,6269.8,2206.1,5983.9
Lung,2019,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,12067.8,4980.3,1981.3,5106.2
Lung,2019,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,14902.7,6269.8,2340.7,6292.2
Lung,2019,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,12425,4980.3,2091.3,5353.4
Lung,2019,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,14368.3,5952,2091.3,6325
Lung,2019,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,17916.7,7726.2,2091.3,8099.2
Lymphoma,2019,Both sexes,All ages,"Incidence, Survival at constant rate",0%,14944.7,3648.1,6074.8,5221.8
Lymphoma,2019,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,14709.2,3537.1,6015.5,5156.6
Lymphoma,2019,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,15330.3,3648.1,6272.7,5409.6
Lymphoma,2019,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,15087.7,3537.1,6210.1,5340.5
Lymphoma,2019,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,16683.1,4227.2,6210.1,6245.8
Lymphoma,2019,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,19596.3,5487.2,6210.1,7899
Melanoma,2019,Both sexes,All ages,"Incidence, Survival at constant rate",0%,3080.9,564.2,2113.9,402.8
Melanoma,2019,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,3610.2,784,2354.7,471.6
Melanoma,2019,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,3096.8,564.2,2127.3,405.4
Melanoma,2019,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,3629.4,784,2370.7,474.7
Melanoma,2019,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,3868.7,936.9,2370.7,561.1
Melanoma,2019,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,4305.6,1216.2,2370.7,718.7
Ovary,2019,Females,All ages,"Incidence, Survival at constant rate",0%,5948.6,1533.4,1928.6,2486.5
Ovary,2019,Females,All ages,"Incidence follows recent trend, Survival constant",0%,4528.9,809.9,1659.4,2059.6
Ovary,2019,Females,All ages,"Survival follows recent trend, Incidence constant",0%,6158.7,1533.4,2015.4,2609.9
Ovary,2019,Females,All ages,"Incidence, Survival follow recent trends",0%,4668,809.9,1717.5,2140.6
Ovary,2019,Females,All ages,"Incidence, Survival follow recent trends",2%,5225,967.9,1717.5,2539.6
Ovary,2019,Females,All ages,"Incidence, Survival follow recent trends",5%,6242.1,1256.4,1717.5,3268.2
Pancreas,2019,Both sexes,All ages,"Incidence, Survival at constant rate",0%,2777.1,1703.7,146.4,927
Pancreas,2019,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,2750.2,1685.5,145.6,919.1
Pancreas,2019,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,3070.4,1703.7,214.8,1151.9
Pancreas,2019,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,3040.7,1685.5,213.4,1141.9
Pancreas,2019,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,3580.2,2014.3,213.4,1352.6
Pancreas,2019,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,4565.4,2614.7,213.4,1737.3
Prostate,2019,Males,All ages,"Incidence, Survival at constant rate",0%,15816.9,5857.4,8496.6,1462.9
Prostate,2019,Males,All ages,"Incidence follows recent trend, Survival constant",0%,14913.6,5335.6,8164.5,1413.5
Prostate,2019,Males,All ages,"Survival follows recent trend, Incidence constant",0%,15894,5857.4,8562.5,1474.2
Prostate,2019,Males,All ages,"Incidence, Survival follow recent trends",0%,14987,5335.6,8227.2,1424.2
Prostate,2019,Males,All ages,"Incidence, Survival follow recent trends",2%,16085.9,6376.6,8227.2,1482.2
Prostate,2019,Males,All ages,"Incidence, Survival follow recent trends",5%,18092.5,8277.3,8227.2,1588
Stomach,2019,Both sexes,All ages,"Incidence, Survival at constant rate",0%,2209.7,1001.7,283.9,924.1
Stomach,2019,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,1794.4,760.3,252.7,781.5
Stomach,2019,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,2328.9,1001.7,313.4,1013.8
Stomach,2019,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,1891.5,760.3,277,854.2
Stomach,2019,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,2186.7,908.6,277,1001.1
Stomach,2019,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,2725.9,1179.4,277,1269.4
Uterus,2019,Both sexes,All ages,"Incidence, Survival at constant rate",0%,2998.8,1256.3,890.5,852
Uterus,2019,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,2800.8,1134,852.8,814
Uterus,2019,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,2991.7,1256.3,884.7,850.7
Uterus,2019,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,2794.3,1134,847.4,812.9
Uterus,2019,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,3151,1355.2,847.4,948.4
Uterus,2019,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,3802.4,1759.2,847.4,1195.7
Other,2019,Both sexes,All ages,"Incidence, Survival at constant rate",0%,25393.2,4417,14078.9,6897.4
Other,2019,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,26425.7,4446.8,13939.1,8039.8
Other,2019,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,28877,4417,16910.3,7549.6
Other,2019,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,29866.5,4446.8,16658,8761.7
Other,2019,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,31878.5,5314.3,16658,9906.1
Other,2019,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,35552.3,6898.4,16658,11995.9
AllSites,2020,Both sexes,All ages,"Incidence, Survival at constant rate",0%,157767,48317.2,61373.3,48076.5
AllSites,2020,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,147571.7,42272.9,59101.5,46197.4
AllSites,2020,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,165209.8,48317.2,66099.7,50792.8
AllSites,2020,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,154695.9,42272.9,63569.4,48853.7
AllSites,2020,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,172765.5,51530.4,63569.4,57665.8
AllSites,2020,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,206587.1,68858,63569.4,74159.7
Bladder,2020,Both sexes,All ages,"Incidence, Survival at constant rate",0%,4905.9,1236.4,2308.2,1361.3
Bladder,2020,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,4405.6,1016.3,2136.9,1252.5
Bladder,2020,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,4980.4,1236.4,2355,1389.1
Bladder,2020,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,4472,1016.3,2178.5,1277.3
Bladder,2020,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,4903.5,1238.8,2178.5,1486.1
Bladder,2020,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,5711,1655.4,2178.5,1877.1
Brain,2020,Both sexes,All ages,"Incidence, Survival at constant rate",0%,5535,1457.7,1356.5,2720.8
Brain,2020,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,5379.1,1374.1,1338.7,2666.3
Brain,2020,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,5786.9,1457.7,1430,2899.1
Brain,2020,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,5621.2,1374.1,1409.5,2837.6
Brain,2020,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,6511.7,1675.1,1409.5,3427.1
Brain,2020,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,8178.3,2238.3,1409.5,4530.5
Breast,2020,Females,All ages,"Incidence, Survival at constant rate",0%,20496.3,6851,8903.6,4741.7
Breast,2020,Females,All ages,"Incidence follows recent trend, Survival constant",0%,18910.9,6028.5,8419,4463.4
Breast,2020,Females,All ages,"Survival follows recent trend, Incidence constant",0%,20685.3,6851,9028,4806.2
Breast,2020,Females,All ages,"Incidence, Survival follow recent trends",0%,19084.2,6028.5,8533.2,4522.5
Breast,2020,Females,All ages,"Incidence, Survival follow recent trends",2%,21367.3,7348.7,8533.2,5485.5
Breast,2020,Females,All ages,"Incidence, Survival follow recent trends",5%,25640.8,9819.8,8533.2,7287.8
Cervix,2020,Females,All ages,"Incidence, Survival at constant rate",0%,1541.9,499.6,361,681.3
Cervix,2020,Females,All ages,"Incidence follows recent trend, Survival constant",0%,1204.6,293,323,588.6
Cervix,2020,Females,All ages,"Survival follows recent trend, Incidence constant",0%,1545.3,499.6,361.9,683.8
Cervix,2020,Females,All ages,"Incidence, Survival follow recent trends",0%,1206.9,293,323.7,590.3
Cervix,2020,Females,All ages,"Incidence, Survival follow recent trends",2%,1388.5,357.1,323.7,707.7
Cervix,2020,Females,All ages,"Incidence, Survival follow recent trends",5%,1728.3,477.2,323.7,927.4
Colorectal,2020,Both sexes,All ages,"Incidence, Survival at constant rate",0%,17408.3,7228.6,4908.6,5271.1
Colorectal,2020,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,14349.3,5469.7,4337.2,4542.4
Colorectal,2020,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,17834.2,7228.6,5119.4,5486.2
Colorectal,2020,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,14699.4,5469.7,4511.1,4718.6
Colorectal,2020,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,16681.5,6667.6,4511.1,5502.8
Colorectal,2020,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,20391.3,8909.6,4511.1,6970.6
Esophagus,2020,Both sexes,All ages,"Incidence, Survival at constant rate",0%,1762.6,709.2,217.3,836
Esophagus,2020,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,1703.5,680,212.3,811.3
Esophagus,2020,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,2040.3,709.2,284,1047.1
Esophagus,2020,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,1973.6,680,277.2,1016.4
Esophagus,2020,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,2319.5,828.9,277.2,1213.4
Esophagus,2020,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,2967,1107.6,277.2,1582.2
Head_Neck,2020,Both sexes,All ages,"Incidence, Survival at constant rate",0%,4340.6,1281,1211.1,1848.5
Head_Neck,2020,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,3786.5,1011.7,1110.8,1663.9
Head_Neck,2020,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,4397.6,1281,1234.7,1881.9
Head_Neck,2020,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,3835.8,1011.7,1131.3,1692.8
Head_Neck,2020,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,4400.1,1233.3,1131.3,2035.5
Head_Neck,2020,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,5456.1,1648,1131.3,2676.8
Kidney,2020,Both sexes,All ages,"Incidence, Survival at constant rate",0%,5115.7,1392.2,2212.3,1511.2
Kidney,2020,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,6071.7,1844.3,2495.6,1731.9
Kidney,2020,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,5295.2,1392.2,2319.6,1583.3
Kidney,2020,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,6289.9,1844.3,2626,1819.6
Kidney,2020,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,6989.8,2248.2,2626,2115.6
Kidney,2020,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,8299.7,3004.1,2626,2669.6
Leukemia,2020,Both sexes,All ages,"Incidence, Survival at constant rate",0%,6947.4,925.4,2733.4,3288.6
Leukemia,2020,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,6662.6,864.1,2638.4,3160.1
Leukemia,2020,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,7241.7,925.4,2868.8,3447.5
Leukemia,2020,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,6940.5,864.1,2766.3,3310.1
Leukemia,2020,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,7778.3,1053.3,2766.3,3958.7
Leukemia,2020,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,9346.5,1407.5,2766.3,5172.7
Lung,2020,Both sexes,All ages,"Incidence, Survival at constant rate",0%,14732.8,6386.9,2249.8,6096.1
Lung,2020,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,12135.2,5002.1,1997.9,5135.1
Lung,2020,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,15233.1,6386.9,2402.8,6443.4
Lung,2020,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,12533,5002.1,2121.3,5409.6
Lung,2020,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,14730.2,6097.5,2121.3,6511.3
Lung,2020,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,18842.6,8147.9,2121.3,8573.4
Lymphoma,2020,Both sexes,All ages,"Incidence, Survival at constant rate",0%,15260.5,3706.8,6204.1,5349.6
Lymphoma,2020,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,15000.2,3587.6,6136.7,5275.9
Lymphoma,2020,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,15707.1,3706.8,6433,5567.3
Lymphoma,2020,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,15438,3587.6,6361.6,5488.8
Lymphoma,2020,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,17266.2,4373.3,6361.6,6531.4
Lymphoma,2020,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,20688.2,5843.9,6361.6,8482.8
Melanoma,2020,Both sexes,All ages,"Incidence, Survival at constant rate",0%,3157.7,572.1,2175,410.6
Melanoma,2020,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,3756.1,812.1,2455.9,488.2
Melanoma,2020,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,3176,572.1,2190.4,413.5
Melanoma,2020,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,3778.4,812.1,2474.5,491.8
Melanoma,2020,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,4056.5,989.9,2474.5,592
Melanoma,2020,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,4576.9,1322.8,2474.5,779.7
Ovary,2020,Females,All ages,"Incidence, Survival at constant rate",0%,6031.3,1548.1,1955.8,2527.4
Ovary,2020,Females,All ages,"Incidence follows recent trend, Survival constant",0%,4487.1,783.6,1651.1,2052.4
Ovary,2020,Females,All ages,"Survival follows recent trend, Incidence constant",0%,6273.5,1548.1,2056.2,2669.2
Ovary,2020,Females,All ages,"Incidence, Survival follow recent trends",0%,4643,783.6,1716.6,2142.8
Ovary,2020,Females,All ages,"Incidence, Survival follow recent trends",2%,5262.6,955.2,1716.6,2590.8
Ovary,2020,Females,All ages,"Incidence, Survival follow recent trends",5%,6422.5,1276.4,1716.6,3429.4
Pancreas,2020,Both sexes,All ages,"Incidence, Survival at constant rate",0%,2833.8,1736.9,150.6,946.3
Pancreas,2020,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,2805.3,1717.7,149.7,937.9
Pancreas,2020,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,3164.6,1736.9,228.5,1199.2
Pancreas,2020,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,3133,1717.7,227,1188.3
Pancreas,2020,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,3755,2093.8,227,1434.2
Pancreas,2020,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,4919.2,2797.9,227,1894.3
Prostate,2020,Males,All ages,"Incidence, Survival at constant rate",0%,16341.4,6015.7,8809.7,1515.9
Prostate,2020,Males,All ages,"Incidence follows recent trend, Survival constant",0%,15323.2,5444,8421.5,1457.7
Prostate,2020,Males,All ages,"Survival follows recent trend, Incidence constant",0%,16431.7,6015.7,8886.7,1529.2
Prostate,2020,Males,All ages,"Incidence, Survival follow recent trends",0%,15408.8,5444,8494.5,1470.3
Prostate,2020,Males,All ages,"Incidence, Survival follow recent trends",2%,16667.7,6636.2,8494.5,1537
Prostate,2020,Males,All ages,"Incidence, Survival follow recent trends",5%,19024,8867.7,8494.5,1661.8
Stomach,2020,Both sexes,All ages,"Incidence, Survival at constant rate",0%,2261.5,1024.8,291.2,945.4
Stomach,2020,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,1806.9,763.6,255.7,787.6
Stomach,2020,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,2396.8,1024.8,325.1,1046.9
Stomach,2020,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,1915.5,763.6,283.3,868.6
Stomach,2020,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,2250.3,930.8,283.3,1036.2
Stomach,2020,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,2876.9,1243.8,283.3,1349.8
Uterus,2020,Both sexes,All ages,"Incidence, Survival at constant rate",0%,3052.9,1278.5,906.8,867.6
Uterus,2020,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,2838.2,1148.2,864.6,825.4
Uterus,2020,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,3044.3,1278.5,899.8,865.9
Uterus,2020,Both sexes,All ages,"Incidence, Survival follow recent trends",0%,2830.3,1148.2,858.1,823.9
Uterus,2020,Both sexes,All ages,"Incidence, Survival follow recent trends",2%,3235.9,1399.7,858.1,978.1
Uterus,2020,Both sexes,All ages,"Incidence, Survival follow recent trends",5%,3995,1870.3,858.1,1266.6
Other,2020,Both sexes,All ages,"Incidence, Survival at constant rate",0%,26041.5,4466.2,14418.2,7157.1
Other,2020,Both sexes,All ages,"Incidence follows recent trend, Survival constant",0%,26945.7,4432.4,14156.5,8356.8
Other,2020,Both sexes,All ages,"Survival follows recent trend, Incidence constant",0%,29975.9,4466.2,17675.7,7834
